countryterritoryCode,population
ABW,106310.0
AFG,38041757.0
AGO,31825299.0
AIA,14872.0
ALB,2862427.0
AND,76177.0
ARE,9770526.0
ARG,44780675.0
ARM,2957728.0
ATG,97115.0
AUS,25203200.0
AUT,8858775.0
AZE,10047719.0
BDI,11530577.0
BEL,11455519.0
BEN,11801151.0
BES,25983.0
BFA,20321383.0
BGD,163046173.0
BGR,7000039.0
BHR,1641164.0
BHS,389486.0
BIH,3300998.0
BLR,9452409.0
BLZ,390351.0
BMU,62508.0
BOL,11513102.0
BRA,211049519.0
BRB,287021.0
BRN,433296.0
BTN,763094.0
BWA,2303703.0
CAF,4745179.0
CAN,37411038.0
CHE,8544527.0
CHL,18952035.0
CHN,1433783692.0
CIV,25716554.0
CMR,25876387.0
CNG1925,23773881.0
COD,86790568.0
COG,5380504.0
COL,50339443.0
COM,850891.0
CPV,549936.0
CRI,5047561.0
CUB,11333484.0
CUW,163423.0
CYM,64948.0
CYP,875899.0
CZE,10649800.0
DEU,83019213.0
DJI,973557.0
DMA,71808.0
DNK,5806081.0
DOM,10738957.0
DZA,43053054.0
ECU,17373657.0
EGY,100388076.0
ERI,3497117.0
ESH,582458.0
ESP,46937060.0
EST,1324820.0
ETH,112078727.0
FIN,5517919.0
FJI,889955.0
FLK,3372.0
FRA,67012883.0
FRO,48677.0
GAB,2172578.0
GBR,66647112.0
GEO,3996762.0
GGY,64468.0
GHA,30417858.0
GIB,33706.0
GIN,12771246.0
GMB,2347696.0
GNB,1920917.0
GNQ,1355982.0
GRC,10724599.0
GRD,112002.0
GRL,56660.0
GTM,17581476.0
GUM,167295.0
GUY,782775.0
HND,9746115.0
HRV,4076246.0
HTI,11263079.0
HUN,9772756.0
IDN,270625567.0
IMN,84589.0
IND,1366417756.0
IRL,4904240.0
IRN,82913893.0
IRQ,39309789.0
ISL,356991.0
ISR,8519373.0
ITA,60359546.0
JAM,2948277.0
JEY,107796.0
JOR,10101697.0
JPN,126860299.0
KAZ,18551428.0
KEN,52573967.0
KGZ,6415851.0
KHM,16486542.0
KNA,52834.0
KOR,51225321.0
KWT,4207077.0
LAO,7169456.0
LBN,6855709.0
LBR,4937374.0
LBY,6777453.0
LCA,182795.0
LIE,38378.0
LKA,21323734.0
LSO,2125267.0
LTU,2794184.0
LUX,613894.0
LVA,1919968.0
MAR,36471766.0
MCO,33085.0
MDA,4043258.0
MDG,26969306.0
MDV,530957.0
MEX,127575529.0
MHL,58791.0
MKD,2077132.0
MLI,19658023.0
MLT,493559.0
MMR,54045422.0
MNE,622182.0
MNG,3225166.0
MNP,57213.0
MOZ,30366043.0
MRT,4525698.0
MSF,4991.0
MUS,1269670.0
MWI,18628749.0
MYS,31949789.0
NAM,2494524.0
NCL,282757.0
NER,23310719.0
NGA,200963603.0
NIC,6545503.0
NLD,17282163.0
NOR,5328212.0
NPL,28608715.0
NZL,4783062.0
OMN,4974992.0
PAK,216565317.0
PAN,4246440.0
PER,32510462.0
PHL,108116622.0
PNG,8776119.0
POL,37972812.0
PRI,2933404.0
PRT,10276617.0
PRY,7044639.0
PSE,4981422.0
PYF,279285.0
QAT,2832071.0
ROU,19414458.0
RUS,145872260.0
RWA,12626938.0
SAU,34268529.0
SDN,42813237.0
SEN,16296362.0
SGP,5804343.0
SLB,669821.0
SLE,7813207.0
SLV,6453550.0
SMR,34453.0
SOM,15442906.0
SRB,6963764.0
SSD,11062114.0
STP,215048.0
SUR,581363.0
SVK,5450421.0
SVN,2080908.0
SWE,10230185.0
SWZ,1148133.0
SXM,42389.0
SYC,97741.0
SYR,17070132.0
TCA,38194.0
TCD,15946882.0
TGO,8082359.0
THA,69625581.0
TJK,9321023.0
TLS,1293120.0
TTO,1394969.0
TUN,11694721.0
TUR,82003882.0
TZA,58005461.0
UGA,44269587.0
UKR,43993643.0
URY,3461731.0
USA,329064917.0
UZB,32981715.0
VAT,815.0
VCT,110593.0
VEN,28515829.0
VGB,30033.0
VIR,104579.0
VNM,96462108.0
VUT,299882.0
XKX,1798506.0
YEM,29161922.0
ZAF,58558267.0
ZMB,17861034.0
ZWE,14645473.0
